Rank Name Score Finish Time Q1 (2) Q2 (6) Q3 (6) Q4 (10)
158|Jay_1204|14|1:28:18|0:26:06|0|1:28:18|0|1:12:42|0|-1|-1|
159|meihualu233|14|1:28:23|0:02:55|0|0:30:46|3|1:08:23|1|-1|-1|
160|cenkay|14|1:28:48|0:02:50|0|0:50:38|0|1:28:48|0|-1|-1|
161|cai_lw|14|1:29:23|0:01:40|0|0:26:29|2|1:14:23|1|-1|-1|
162|TEH00000|14|1:29:47|0:04:16|0|0:37:53|3|1:14:47|0|-1|-1|
163|JulianF|14|1:29:49|0:12:10|0|0:33:39|1|1:19:49|1|-1|-1|
164|AmSlow|14|1:29:59|0:05:56|0|0:36:38|0|1:29:59|0|-1|-1|
165|yangbo02|14|1:30:09|0:02:33|0|0:14:56|0|1:15:09|3|-1|-1|
166|hayden2|14|1:30:20|0:10:54|0|0:42:30|2|1:20:20|0|-1|-1|
167|vonzcy|14|1:30:57|0:01:58|0|0:28:39|2|1:05:57|3|-1|-1|
168|fli|14|1:31:22|0:04:24|1|0:32:12|1|1:16:22|1|-1|-1|
169|ibmtp380|14|1:32:51|0:04:39|0|0:33:16|0|1:27:51|1|-1|-1|
170|kaizhuang|14|1:33:11|0:01:32|0|0:22:37|5|0:58:11|2|-1|-1|
171|sl5879|14|1:35:44|0:03:51|0|0:45:34|3|1:15:44|1|-1|-1|
172|sachinmalhotra1993|14|1:36:21|0:04:46|0|0:45:40|1|1:26:21|1|-1|-1|
173|niet|14|1:36:24|0:08:12|0|0:46:00|4|1:16:24|0|-1|-1|
174|enkhbayasgalan|14|1:36:37|0:04:27|0|0:20:59|1|1:26:37|1|-1|-1|
175|david111|14|1:36:40|0:23:36|0|0:44:17|0|1:16:40|4|-1|-1|
176|milantomic780|14|1:36:52|0:13:49|0|0:58:22|1|1:26:52|1|-1|-1|
177|OTTFF|14|1:36:52|0:02:24|0|1:26:52|2|0:39:01|0|-1|-1|
178|jainchethan87|14|1:38:35|0:04:28|0|1:28:35|2|1:11:33|0|-1|-1|
179|piaokang33|14|1:38:58|0:18:03|0|0:38:42|1|1:28:58|1|-1|-1|
180|wangzi6147|14|1:39:36|0:01:33|1|0:18:58|2|1:09:36|3|-1|-1|
181|LittleDS623|14|1:40:11|0:01:26|0|1:25:11|2|1:04:18|1|-1|-1|
182|fsqhxrcjw|14|1:40:41|0:01:35|0|0:14:10|0|1:25:41|3|-1|-1|
183|autoy2015|14|1:42:06|0:09:05|0|0:45:34|1|1:27:06|2|-1|-1|
184|XBB_HOME|14|1:42:51|0:12:55|0|1:16:55|3|1:27:51|0|-1|-1|
185|LeetCoderChen|14|1:42:53|0:07:06|0|1:27:53|1|0:59:42|2|-1|-1|
186|alivelii|14|1:43:34|0:02:33|0|0:50:19|2|1:28:34|1|-1|-1|
187|nevergiveup|14|1:43:43|0:03:51|0|1:18:43|4|0:41:06|1|-1|-1|
188|SoundsOfLife|14|1:43:52|0:11:12|0|0:55:20|2|1:28:52|1|-1|-1|
189|victorj8|14|1:43:55|0:02:26|0|0:37:01|1|1:28:55|2|-1|-1|
190|Beach|14|1:44:24|0:03:27|0|0:20:18|1|1:19:24|4|-1|-1|
191|NaoJoeMiao|14|1:46:44|0:05:05|0|1:21:44|2|1:05:05|3|-1|-1|
192|luoshaochuan|14|1:48:03|0:02:21|0|0:19:29|2|1:28:03|2|-1|-1|
193|zografos|14|1:48:25|0:10:37|0|0:32:54|4|1:13:25|3|-1|-1|
194|zren0825|14|1:48:35|0:05:00|1|0:44:39|3|1:23:35|1|-1|-1|
195|Yaning_Wang|14|1:48:40|0:02:24|0|0:31:38|2|1:28:40|2|-1|-1|
196|bigmiaomiao|14|1:53:07|0:03:09|0|0:41:23|2|1:18:07|5|-1|-1|
